zhongguo-meishu-jianshi | 中国美术简史 | survey
wangxun-zhongguo-meishushi | 中国美术史 | survey
sullivan-arts-of-china | The Arts of China | survey
clunas-art-in-china | Art in China | survey
three-thousand-years | 中国绘画三千年 | survey
lidai-minghua-ji | 历代名画记 | primary
xuanhe-huapu | 宣和画谱 | primary
linquan-gaozhi | 林泉高致 | primary
guhuapinlu | 古画品录 | primary
xuanhe-bogu-tu | 宣和博古图 | primary
kaogu-wenwu | 《考古》《文物》《考古学报》等考古期刊 | report
dpm | 故宫博物院 | museum
npm-taipei | 国立故宫博物院（台北） | museum
nmc | 中国国家博物馆 | museum
shanghai-museum | 上海博物馆 | museum
dunhuang-academy | 敦煌研究院 · 数字敦煌 | museum
cleveland | Cleveland Museum of Art（克利夫兰美术馆） | museum
met | The Metropolitan Museum of Art（大都会博物馆） | museum
harvard-art | Harvard Art Museums | museum
freer-sackler | National Museum of Asian Art（原弗利尔与赛克勒美术馆） | museum
smarthistory | Smarthistory | open
met-timeline | Heilbrunn Timeline of Art History | open
baoji-bronze-museum | 宝鸡青铜器博物院 | museum
wikidata | Wikidata | reference
yungang-academy | 云冈研究院 | museum
maijishan-institute | 麦积山石窟艺术研究所 | museum
dazu-academy | 大足石刻研究院 | museum
hunan-museum | 湖南博物院 | museum
shaanxi-history-museum | 陕西历史博物馆 | museum
famen-temple-museum | 法门寺博物馆 | museum
wikimedia | Wikimedia Commons | reference
tuhua-jianwen-zhi | 图画见闻志 | primary
huachanshi-suibi | 画禅室随笔 | primary
kugua-heshang-hualuyu | 苦瓜和尚画语录 | primary
yingzao-xueshe-huikan | 中国营造学社汇刊 | primary
liang-sicheng-jianzhushi | 中国建筑史 / 图像中国建筑史 | primary
liu-dunzhen-gudai-jianzhushi | 中国古代建筑史 | survey
tongjun-jiangnan-yuanlin-zhi | 江南园林志 | primary
guangyi-zhoushuang-ji | 广艺舟双楫 | primary
yizhou-shuang-ji | 艺舟双楫 | primary
nanbei-shupai-lun | 南北书派论 / 北碑南帖论 | primary
dongpo-tiba | 东坡题跋（苏轼文集所辑） | primary
shangu-tiba | 山谷题跋（黄庭坚文集所辑） | primary
shuanghong-kan-ji | 霜红龛集 | primary
shishuo-xinyu | 世说新语 | primary
biaozhun-caoshu | 标准草书 | primary
zhuanke-xue | 篆刻学 | primary
yinxue-shi | 印学史 | survey
lunshu-jueju | 论书绝句一百首 | primary
andrews-shen-century-crisis | A Century in Crisis: Modernity and Tradition in the Art of Twentieth-Century China | survey
andrews-painters-politics | Painters and Politics in the People's Republic of China, 1949-1979 | survey
sullivan-20th-century-china | Art and Artists of Twentieth-Century China | survey
unesco-whc | UNESCO World Heritage Centre | reference
congwenjun-zhongguo-shufashi | 中国书法史（七卷本） | survey
zhang-huaiguan-shuduan | 书断 | primary
guo-moruo-lanting-zhenwei | 由王谢墓志的出土论到兰亭序的真伪 | primary
gao-erhi-lanting-bianyi | 《兰亭序》的真伪驳议 | primary
jinshu | 晋书 | primary
tangchao-minghua-lu | 唐朝名画录 | primary
mifu-huashi | 画史 | primary
shengchao-minghua-ping | 圣朝名画评 | primary
jiu-tangshu | 旧唐书 | primary
xin-tangshu | 新唐书 | primary
mifu-shushi | 书史 | primary
mifu-baozhang-daifang-lu | 宝章待访录 | primary
tang-hou-huajian | 画鉴 | primary
bifa-ji | 笔法记 | primary
yizhou-minghua-lu | 益州名画录 | primary
huaji | 画继 | primary
tuhui-baojian | 图绘宝鉴 | primary
shupu | 书谱 | primary
fashu-yaolu | 法书要录 | primary
xuanhe-shupu | 宣和书谱 | primary
shiqu-baoji | 石渠宝笈 | primary
peiwenzhai-shuhua-pu | 佩文斋书画谱 | primary
jieziyuan-huazhuan | 芥子园画传 | primary
hua-shanshui-xu | 画山水序 | primary
xu-huapin | 续画品 | primary
liaoshi | 辽史 | primary
jinshi | 金史 | primary
songshi | 宋史 | primary
zeng-houyi-mu-baogao | 曾侯乙墓（发掘报告） | primary
