候选来自 Wikidata 按收藏地反查（P195/P276），已粗筛去器物、并与本库做过题名查重。
**但查重必有漏**：繁简字表不全（『瑞鶴圖』就没对上库里的『瑞鹤图』）、
题名详略不同（『兰亭集序神龙本』vs『兰亭序神龙本』）。
**所以每一条动手前必须自己 grep 全库，多用几种写法。查不到不等于没有。**
格式：Wikidata QID | 中文题名 | 藏品号（可能为空）

本片候选 128 条，**从中选 13 件最值得立目的建成完整级**。

Q116459599|赵伯骕万松金阙图卷|新00147130
Q116459600|赵佶祥龙石图卷|新00147135
Q116459601|赵孟頫幽篁戴胜图卷|新00147133
Q116459602|梁师闵芦汀密雪图卷|新00146695
Q116459604|王绎倪瓒杨竹西小像卷|新00138448
Q116459605|赵霖昭陵六骏图卷|新00147139
Q116459606|赵佶雪江归棹图卷|新00138445
Q116459607|王渊桃竹锦鸡图轴|新00146079
Q116459608|戴进三顾茅庐图轴|新00005580
Q116459610|项圣谟大树风号图轴|新00146918
Q116459611|黄公望九峰雪霁图轴|新00146948
Q116459671|马和之豳风图卷|新00147402
Q116459612|秀石疏林图|新00147132
Q116459613|文徵明兰竹图卷|新00054068
Q116459614|赵昌写生蛱蝶图卷|新00147134
Q116459615|郭熙窠石平远图轴|新00068716
Q116459616|元五家合绘卷|新00147432
Q116459617|董其昌赠稼轩山水图轴|新00147091
Q116459618|商喜关羽擒将图轴|故00005456
Q116459619|仇英玉洞仙源图轴|新00107776
Q116459620|王翚晚梧秋影图|新00146100
Q116459621|赵佶芙蓉锦鸡图轴|故00005872
Q116459623|李唐采薇图卷|新00013836
Q116459624|崔白寒雀图卷|新00146865
Q116459625|王时敏仙山楼阁图轴|新00053932
Q116459626|陈洪绶荷花鸳鸯图轴|新00146789
Q116459627|李嵩钱塘观潮图卷|新00013841
Q116459629|王渊花竹锦鸡图轴|新00146078
Q116459630|周昉挥扇仕女图卷|新00147478
Q116459631|王翚岩栖高士图轴|故00004890
Q116459633|石涛对菊图轴|新00147042
Q116459634|李迪枫鹰雉鸡图轴|新00156580
Q116459635|陈及之便桥会盟图卷|新00018972
Q116459637|赵孟頫古木竹石图轴|故00005861
Q116459638|黄公望天池石壁图轴|新00092907
Q116459639|唐寅事茗图卷|新00138446
Q116459640|赵佶听琴图轴|故00005873
Q116459641|周臣春山游骑图轴|新00054008
Q116459643|王绂墨竹图轴|新00146069
Q116459644|万树园赐宴图|故00006275
Q116459645|沈周仿黄公望富春山居图卷|新00202022
Q116459646|方从义武夷放棹图轴|新00044442
Q116459647|戴进关山行旅图轴|新00147264
Q116459648|郎世宁等马术图轴|故00005367
Q116459651|钱选山居图卷|新00054046
Q116459652|赵芾江山万里图卷|新00147137
Q116459654|徐渭驴背吟诗图轴|新00146669
Q116459655|徐渭水墨葡萄图轴|新00052537
Q116459656|黄公望丹崖玉树图轴|新00105990
Q116459657|沈周京江送别图卷|新00133389
Q116459660|林良灌木集禽图卷|新00100461
Q116459661|王居正（传）纺车图卷|新00087180
Q116459662|吕纪桂菊山禽图轴|新00146440
Q116459665|马远踏歌图轴|新00146618
Q116459668|王翚虞山枫林图轴|新00146102
Q116459670|董其昌高逸图轴|新00100730
Q116459669|赵孟頫竹石图|新00016635
Q116459672|郎世宁嵩献英芝图轴|故00005357
Q116459673|法常水墨写生图卷|新00119830
Q116459674|李嵩货郎图卷|新00021660
Q116459675|倪瓒秋亭嘉树图轴|故00005402
Q116459676|任仁发张果老见明皇图卷|新00146204
Q116459677|吴镇渔父图轴|新00186240
Q116459678|董其昌关山雪霁图卷|故00005735
Q116459679|赵雍挟弹游骑图轴|故00005874
Q116459680|马麟层叠冰绡图轴|故00005376
Q116459681|雪界翁张师夔鹰桧图轴|新00171011
Q116459682|王时敏秋山白云图轴|新00146060
Q116459683|徐扬京师生春诗意图轴|新00146672
Q116459684|赵孟坚墨兰图卷|新00147131
Q116459685|王原祁神完气足图轴|新00146027
Q116459686|张先十咏图卷|新00202006
Q116459688|高克恭墨竹坡石图轴|新00133387
Q116459690|吴镇墨竹坡石图轴|新00146432
Q116459691|朱德润秀野轩图卷|新00146244
Q116459692|王鉴四家灵气图轴|新00100791
Q116459693|唐寅王蜀宫妓图轴|新00146600
Q116459694|边景昭竹鹤图轴|新00171013
Q116459695|柯九思清閟阁墨竹图轴|新00146536
Q116459696|文徵明东园图卷|新00156415
Q116459708|李在阔渚遥峰图轴|故00005463
Q116459709|榴枝黄鸟图页|故00006151-8/10
Q116459711|晴春蝶戏图页|故00006151-3/10
Q116459712|蓬瀛仙馆图页|故00006151-1/10
Q116459716|百花图卷|新00147486
Q116459717|张宗苍山水轴|故00005486
Q116459718|仇英兰亭图扇页|新00148894
Q116459719|张若霭松竹鸣禽轴|故00005530
Q116459720|恽寿平灵岩山图卷|新00016779
Q116459722|恽寿平富春山图轴|故00005586
Q116459723|徐悲鸿柳鹊图轴|新00023117
Q116459724|乾隆帝元宵行乐图轴|故00006474
Q116459725|清人画弘历朝服像轴|故00006466
Q116459726|虚谷画沈麟元篈山钓徒轴|新00052564
Q116459727|王原祁烟江叠嶂轴|故00004865
Q116459728|王鉴仿董源溪山图卷|故00004907
Q116459729|王翚查士标蕉林烟雨图轴|新00147355
Q116459730|王翚查士标合作名山访胜图轴|新00147354
Q116459731|王翚寒塘鸂鶒图轴|新00016774
Q116459732|王翚藤薜乔松轴|故00004891
Q116459734|任颐葛仲华像轴|新00054247
Q116488877|陈清波湖山春晓图页|新00147427-11/12
Q116488881|蕉阴击球图页|新00147428-5/12
Q116488883|仙女乘鸾图页|新00147426-1/14
Q116488884|张珪神龟图卷|新00146748
Q116488886|梁楷秋柳双鸦图页|新00147428-9/12
Q116488888|李迪猎犬图页|新00147426-10/14
Q116488889|夏圭雪堂客话图页|新00156342
Q116488892|林椿葡萄草虫图页|新00147425-4/12
Q116488893|霜柯竹涧图页|故00006154-10/10
Q116488895|丛菊图页|新00148940
Q116488897|晚荷郭索图页|新00147430-2/21
Q116488898|霜桕山鸟图页|新00156349
Q116488902|梁楷疏柳寒鸦图页|新00156339
Q116488904|女孝经图卷|新00147499
